#Force  taus  error jumps
-40.0 0.1303965502591154 0.032313303295693395 19
-30.0 0.12211536239610035 0.02280984397058394 19
-20.0 0.19045928143184418 0.024966115720554613 15
-10.0 0.13868506077857676 0.02040273130027982 18
0.0 0.1314447119562131 0.017475525175923996 29
10.0 0.1377336447775296 0.030916045710098962 20
20.0 0.22992333680260538 0.04332209864658749 17
30.0 0.1295837291961931 0.0247280725423859 18
40.0 0.11135409667477666 0.02912963982975047 19
